Provider,Network,Station,Latitude,Longitude,ElevationM,Channels,SampleRatesHz,EpicentralKm,HypocentralKm,DistanceDegrees,AzimuthDeg,BackAzimuthDeg
"KOERI / archive","KO","URFA",37.4409,38.8213,,"HHE;HHN;HHZ","100",5.06208,11.20824,0.045524,224.098042,44.073776
"EarthScope / PRIMARY","GE","MALT",38.3134,38.427299,,"BHE;BHN;BHZ;HHE;HHN;HHZ;LHE;LHN;LHZ;SHE;SHN;SHZ;VHE;VHN;VHZ","0.1;1;20;40;80",100.845152,101.339749,0.906921,337.95061,157.684102
"EarthScope / PRIMARY","SY","MALT",38.3134,38.427299,,"LXE;LXN;LXZ;MXE;MXN;MXZ","0.5;6.192",100.845152,101.339749,0.906921,337.95061,157.684102
"KOERI / archive","KO","MLTY",38.3223,38.4407,,"HHE;HHN;HHZ","100",101.327321,101.819576,0.911257,338.774712,158.516409
"KOERI / archive","KO","SVRC",38.3775,39.306,,"HHE;HHN;HHZ","100",107.815224,108.277987,0.969604,21.078088,201.351488
"KOERI / archive","KO","DYBB",37.9532,40.1393,,"HHE;HHN;HHZ","100",124.432528,124.833706,1.119047,64.233,245.014856
"KOERI / archive","KO","AKDG",38.3618,37.9703,,"HHE;HHN;HHZ","100",125.941957,126.338342,1.132622,321.918612,141.371105
"KOERI / archive","KO","NURH",37.9693,37.4363,,"HHE;HHN;HHZ","100",136.909976,137.274694,1.231259,294.174934,113.303111
"KOERI / archive","KO","MAZI",37.4593,40.4465,,"HHE;HHN;HHZ","100",139.920587,140.277478,1.258334,90.168901,271.133273
"RASPISHAKE / archive","AM","R9AC7",37.045045,37.294284,,"EHZ","100",146.629859,146.970458,1.318672,251.510843,70.562152
"KOERI / archive","KO","KBAN",38.797,38.7278,,"HHE;HHN;HHZ","100",147.61731,147.955636,1.327553,355.507849,175.425466
"EarthScope / PRIMARY","SY","GAZ",37.172199,37.209702,,"LXE;LXN;LXZ;MXE;MXN;MXZ","0.5;6.192",149.829107,150.16245,1.347444,257.576279,76.574918
"EarthScope / PRIMARY","KO","GAZ",37.1721,37.2096,,"HHE;HHN;HHZ","100",149.840454,150.173771,1.347546,257.572987,76.571565
"KOERI / archive","KO","GAZ",37.1721,37.2096,,"HHE;HHN;HHZ","100",149.840454,150.173771,1.347546,257.572987,76.571565
"KOERI / archive","KO","KHMN",37.3916,37.1574,,"HNE;HNN;HNZ","100",150.713656,151.045046,1.355399,267.049691,86.014026
"KOERI / archive","KO","ARGN",38.7763,38.2639,,"HHE;HHN;HHZ","100",153.987429,154.311789,1.38484,340.349776,159.98099
"KOERI / archive","KO","DARE",38.5712,37.4832,,"HHE;HHN;HHZ","100",171.652018,171.943058,1.543702,315.738937,134.890067
"KOERI / archive","KO","KMRS",37.5087,36.9,,"HHE;HHN;HHZ","100",173.072537,173.361193,1.556477,271.888901,90.695165
"GEOFON / archive","GE","ARPR",39.09289,38.33557,,"BHE;BHN;BHZ;BLE;BLN;BLZ;LHE;LHN;LHZ;LLE;LLN;LLZ;SHE;SHN;SHZ;SLE;SLN;SLZ;VHE;VHN;VHZ","0.1;1;20;50",185.809063,186.077962,1.671019,345.867428,165.54174
"EarthScope / PRIMARY","MN","ARPR",39.09289,38.33557,,"BHE;BHN;BHZ;LHE;LHN;LHZ;VHE;VHN;VHZ","0.1;1;20",185.809063,186.077962,1.671019,345.867428,165.54174
"INGV / archive","MN","ARPR",39.09289,38.33557,,"BHE;BHN;BHZ;LHE;LHN;LHZ;VHE;VHN;VHZ","0.1;1;20",185.809063,186.077962,1.671019,345.867428,165.54174
"EarthScope / PRIMARY","SY","ARPR",39.092892,38.335571,,"LXE;LXN;LXZ;MXE;MXN;MXZ","0.5;6.192",185.809257,186.078155,1.67102,345.867471,165.541784
"KOERI / archive","KO","ARPRA",39.0929,38.3356,,"HNE;HNN;HNZ","100",185.809493,186.078391,1.671023,345.868287,165.542617
"KOERI / archive","KO","LICE",38.4532,40.6446,,"HHE;HHN;HHZ","100",190.541997,190.804225,1.713583,54.588649,235.685817
"KOERI / archive","KO","SINE",39.1636,39.3871,,"HHE;HHN;HHZ","100",193.4382,193.696508,1.739629,13.557689,193.883802
