Provider,Network,Station,Location,Channel,Latitude,Longitude,DistanceKm,SampleRate,EpochStart,EpochEnd
"KOERI / archive","KO","URFA","","HHE","37.4409","38.8213","5.06207992","100","2022-11-29T10:00:00",""
"KOERI / archive","KO","URFA","","HHN","37.4409","38.8213","5.06207992","100","2022-11-29T10:00:00",""
"KOERI / archive","KO","URFA","","HHZ","37.4409","38.8213","5.06207992","100","2022-11-29T10:00:00",""
"EarthScope / PRIMARY","GE","MALT","","BHE","38.3134","38.427299","100.84515209","20","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","BHN","38.3134","38.427299","100.84515209","20","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","BHZ","38.3134","38.427299","100.84515209","20","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","HHE","38.3134","38.427299","100.84515209","80","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","HHN","38.3134","38.427299","100.84515209","80","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","HHZ","38.3134","38.427299","100.84515209","80","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","LHE","38.3134","38.427299","100.84515209","1","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","LHN","38.3134","38.427299","100.84515209","1","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","LHZ","38.3134","38.427299","100.84515209","1","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","SHE","38.3134","38.427299","100.84515209","40","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","SHN","38.3134","38.427299","100.84515209","40","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","SHZ","38.3134","38.427299","100.84515209","40","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","VHE","38.3134","38.427299","100.84515209","0.1","2000-05-26T00:00:00.0000",""
"EarthScope / PRIMARY","GE","MALT","","VHN","38.3134","38.427299","100.84515209","0.1","2000-05-26T00:00:00.0000",""
