strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
130,60,-50,0.0,0.0,0
130,80,-40,0.0,0.0,0
130,90,-40,0.0,0.0,0
140,60,-50,0.0,0.0,0
140,70,-40,0.0,0.0,0
140,70,-30,0.0,0.0,0
140,80,-40,0.0,0.0,0
140,90,-40,0.0,0.0,0
150,60,-30,0.0,0.0,0
150,70,-30,0.0,0.0,0
150,80,-30,0.0,0.0,0
150,90,-30,0.0,0.0,0
160,80,-30,0.0,0.0,0
160,80,-20,0.0,0.0,0
160,90,-30,0.0,0.0,0
220,50,-180,0.0,0.0,0
220,50,-170,0.0,0.0,0
220,50,160,0.0,0.0,0
220,50,170,0.0,0.0,0
230,50,-180,0.0,0.0,0
230,50,-170,0.0,0.0,0
230,50,170,0.0,0.0,0
240,50,-150,0.0,0.0,0
240,60,-180,0.0,0.0,0
240,60,-170,0.0,0.0,0
240,60,-160,0.0,0.0,0
250,50,-140,0.0,0.0,0
250,60,-180,0.0,0.0,0
250,60,-170,0.0,0.0,0
250,60,-160,0.0,0.0,0
250,60,-150,0.0,0.0,0
260,50,-140,0.0,0.0,0
260,60,-170,0.0,0.0,0
260,60,-160,0.0,0.0,0
260,60,-150,0.0,0.0,0
310,90,40,0.0,0.0,0
320,80,40,0.0,0.0,0
320,90,40,0.0,0.0,0
330,80,40,0.0,0.0,0
330,90,30,0.0,0.0,0
340,60,50,0.0,0.0,0
340,90,30,0.0,0.0,0
0,40,70,0.09225809803317878,0.2,1
10,40,80,0.09225809803317878,0.2,1
20,40,90,0.09225809803317878,0.2,1
30,50,-180,0.09225809803317878,0.2,1
30,50,-170,0.09225809803317878,0.2,1
30,50,-160,0.09225809803317878,0.2,1
30,50,-150,0.09225809803317878,0.2,1
30,50,-140,0.09225809803317878,0.2,1
30,50,140,0.09225809803317878,0.2,1
30,50,150,0.09225809803317878,0.2,1
30,50,160,0.09225809803317878,0.2,1
30,50,170,0.09225809803317878,0.2,1
30,60,-180,0.09225809803317878,0.2,1
30,60,-170,0.09225809803317878,0.2,1
30,60,-160,0.09225809803317878,0.2,1
30,60,-150,0.09225809803317878,0.2,1
30,60,-140,0.09225809803317878,0.2,1
30,60,170,0.09225809803317878,0.2,1
30,70,-180,0.09225809803317878,0.2,1
30,70,-170,0.09225809803317878,0.2,1
30,70,-160,0.09225809803317878,0.2,1
30,70,-150,0.09225809803317878,0.2,1
30,70,-140,0.09225809803317878,0.2,1
30,70,170,0.09225809803317878,0.2,1
30,80,-180,0.09225809803317878,0.2,1
30,80,-170,0.09225809803317878,0.2,1
30,80,-160,0.09225809803317878,0.2,1
30,80,-150,0.09225809803317878,0.2,1
30,90,-180,0.09225809803317878,0.2,1
30,90,-170,0.09225809803317878,0.2,1
30,90,-160,0.09225809803317878,0.2,1
30,90,-150,0.09225809803317878,0.2,1
40,40,-120,0.09225809803317878,0.2,1
40,50,-120,0.09225809803317878,0.2,1
40,60,-180,0.09225809803317878,0.2,1
40,60,-170,0.09225809803317878,0.2,1
40,60,-160,0.09225809803317878,0.2,1
40,60,-150,0.09225809803317878,0.2,1
40,60,-140,0.09225809803317878,0.2,1
40,60,-130,0.09225809803317878,0.2,1
40,60,150,0.09225809803317878,0.2,1
40,60,160,0.09225809803317878,0.2,1
40,60,170,0.09225809803317878,0.2,1
40,70,-180,0.09225809803317878,0.2,1
40,70,-170,0.09225809803317878,0.2,1
40,70,-160,0.09225809803317878,0.2,1
40,70,-150,0.09225809803317878,0.2,1
40,70,160,0.09225809803317878,0.2,1
40,70,170,0.09225809803317878,0.2,1
40,80,-180,0.09225809803317878,0.2,1
40,80,-170,0.09225809803317878,0.2,1
40,80,-160,0.09225809803317878,0.2,1
40,80,-150,0.09225809803317878,0.2,1
40,80,170,0.09225809803317878,0.2,1
40,90,-180,0.09225809803317878,0.2,1
40,90,-170,0.09225809803317878,0.2,1
40,90,-160,0.09225809803317878,0.2,1
40,90,170,0.09225809803317878,0.2,1
50,40,-110,0.09225809803317878,0.2,1
50,40,-100,0.09225809803317878,0.2,1
50,70,-180,0.09225809803317878,0.2,1
50,70,-170,0.09225809803317878,0.2,1
50,70,-160,0.09225809803317878,0.2,1
50,70,-150,0.09225809803317878,0.2,1
50,70,150,0.09225809803317878,0.2,1
50,70,160,0.09225809803317878,0.2,1
50,70,170,0.09225809803317878,0.2,1
50,80,-180,0.09225809803317878,0.2,1
50,80,-170,0.09225809803317878,0.2,1
50,80,-160,0.09225809803317878,0.2,1
50,80,160,0.09225809803317878,0.2,1
50,80,170,0.09225809803317878,0.2,1
50,90,-180,0.09225809803317878,0.2,1
50,90,-170,0.09225809803317878,0.2,1
50,90,160,0.09225809803317878,0.2,1
50,90,170,0.09225809803317878,0.2,1
60,40,-110,0.09225809803317878,0.2,1
60,40,-100,0.09225809803317878,0.2,1
60,40,-90,0.09225809803317878,0.2,1
60,90,-180,0.09225809803317878,0.2,1
60,90,-170,0.09225809803317878,0.2,1
60,90,150,0.09225809803317878,0.2,1
60,90,160,0.09225809803317878,0.2,1
60,90,170,0.09225809803317878,0.2,1
70,40,-100,0.09225809803317878,0.2,1
70,40,-90,0.09225809803317878,0.2,1
80,40,-90,0.09225809803317878,0.2,1
80,40,-80,0.09225809803317878,0.2,1
90,40,-80,0.09225809803317878,0.2,1
100,40,-80,0.09225809803317878,0.2,1
100,40,-70,0.09225809803317878,0.2,1
100,50,-60,0.09225809803317878,0.2,1
110,40,-70,0.09225809803317878,0.2,1
110,50,-60,0.09225809803317878,0.2,1
120,40,-60,0.09225809803317878,0.2,1
120,50,-60,0.09225809803317878,0.2,1
120,60,-50,0.09225809803317878,0.2,1
120,90,-30,0.09225809803317878,0.2,1
120,90,-20,0.09225809803317878,0.2,1
120,90,-10,0.09225809803317878,0.2,1
120,90,0,0.09225809803317878,0.2,1
120,90,10,0.09225809803317878,0.2,1
120,90,20,0.09225809803317878,0.2,1
120,90,30,0.09225809803317878,0.2,1
120,90,40,0.09225809803317878,0.2,1
130,50,-60,0.09225809803317878,0.2,1
130,50,-50,0.09225809803317878,0.2,1
130,80,-30,0.09225809803317878,0.2,1
130,80,-20,0.09225809803317878,0.2,1
130,80,-10,0.09225809803317878,0.2,1
130,80,0,0.09225809803317878,0.2,1
130,80,10,0.09225809803317878,0.2,1
130,80,20,0.09225809803317878,0.2,1
130,80,30,0.09225809803317878,0.2,1
130,80,40,0.09225809803317878,0.2,1
130,80,50,0.09225809803317878,0.2,1
